id_parameter,cd_parameter,cd_configuration,id_algorithm,ds_algorithm,id_function,ds_function,id_device,ds_device,id_dataset,id_resource,id_parameter_type,ds_parameter_type,ds_parameter_attribute,ds_compss_version,ds_dislib_version,ds_schdeuler,nr_cluster,bl_transpose_matrix,nr_iterations,vl_grid_row_dimension,vl_grid_column_dimension,vl_block_row_dimension,vl_block_column_dimension,vl_block_memory_size,vl_block_memory_size_percent_cpu,vl_block_memory_size_percent_gpu,ds_resource,nr_nodes,nr_computing_units_cpu,nr_computing_units_gpu,vl_memory_size_per_cpu_computing_unit,vl_memory_size_per_gpu_computing_unit,ds_dataset,vl_dataset_memory_size,ds_data_type,vl_data_type_memory_size,vl_dataset_dimension,vl_dataset_row_dimension,vl_dataset_column_dimension,nr_random_state,vl_data_sparsity,vl_data_skewness
14415,2594,1,1,KMEANS,1,_PARTIAL_SUM,1,CPU,28,18,17,VAR_GRID_ROW_5,32MAXCORES_1,TrunkCT,0.6.4,es.bsc.compss.scheduler.orderstrict.fifo.FifoTS,10,False,5,1,1,12500000,100,10000000000,0.078125,0.8333333333333334,MINOTAURO_9_NODES_1_CORE,9,1,1,128000000000,12000000000,S_10GB_1,10000000000,FLOAT64,8,1250000000,12500000,100,170,0.0,0.0
14416,2594,2,1,KMEANS,2,_PARTIAL_SUM,2,GPU,28,18,17,VAR_GRID_ROW_5,32MAXCORES_1,TrunkCT,0.6.4,es.bsc.compss.scheduler.orderstrict.fifo.FifoTS,10,False,5,1,1,12500000,100,10000000000,0.078125,0.8333333333333334,MINOTAURO_9_NODES_1_CORE,9,1,1,128000000000,12000000000,S_10GB_1,10000000000,FLOAT64,8,1250000000,12500000,100,170,0.0,0.0
14417,2594,1,1,KMEANS,1,_PARTIAL_SUM,1,CPU,28,18,17,VAR_GRID_ROW_5,32MAXCORES_1,TrunkCT,0.6.4,es.bsc.compss.scheduler.orderstrict.fifo.FifoTS,10,False,5,2,1,6250000,100,5000000000,0.0390625,0.4166666666666667,MINOTAURO_9_NODES_1_CORE,9,1,1,128000000000,12000000000,S_10GB_1,10000000000,FLOAT64,8,1250000000,12500000,100,170,0.0,0.0
14418,2594,2,1,KMEANS,2,_PARTIAL_SUM,2,GPU,28,18,17,VAR_GRID_ROW_5,32MAXCORES_1,TrunkCT,0.6.4,es.bsc.compss.scheduler.orderstrict.fifo.FifoTS,10,False,5,2,1,6250000,100,5000000000,0.0390625,0.4166666666666667,MINOTAURO_9_NODES_1_CORE,9,1,1,128000000000,12000000000,S_10GB_1,10000000000,FLOAT64,8,1250000000,12500000,100,170,0.0,0.0
14419,2594,1,1,KMEANS,1,_PARTIAL_SUM,1,CPU,28,18,17,VAR_GRID_ROW_5,32MAXCORES_1,TrunkCT,0.6.4,es.bsc.compss.scheduler.orderstrict.fifo.FifoTS,10,False,5,4,1,3125000,100,2500000000,0.01953125,0.20833333333333334,MINOTAURO_9_NODES_1_CORE,9,1,1,128000000000,12000000000,S_10GB_1,10000000000,FLOAT64,8,1250000000,12500000,100,170,0.0,0.0
14420,2594,2,1,KMEANS,2,_PARTIAL_SUM,2,GPU,28,18,17,VAR_GRID_ROW_5,32MAXCORES_1,TrunkCT,0.6.4,es.bsc.compss.scheduler.orderstrict.fifo.FifoTS,10,False,5,4,1,3125000,100,2500000000,0.01953125,0.20833333333333334,MINOTAURO_9_NODES_1_CORE,9,1,1,128000000000,12000000000,S_10GB_1,10000000000,FLOAT64,8,1250000000,12500000,100,170,0.0,0.0
14421,2594,1,1,KMEANS,1,_PARTIAL_SUM,1,CPU,28,18,17,VAR_GRID_ROW_5,32MAXCORES_1,TrunkCT,0.6.4,es.bsc.compss.scheduler.orderstrict.fifo.FifoTS,10,False,5,8,1,1562500,100,1250000000,0.009765625,0.10416666666666667,MINOTAURO_9_NODES_1_CORE,9,1,1,128000000000,12000000000,S_10GB_1,10000000000,FLOAT64,8,1250000000,12500000,100,170,0.0,0.0
14422,2594,2,1,KMEANS,2,_PARTIAL_SUM,2,GPU,28,18,17,VAR_GRID_ROW_5,32MAXCORES_1,TrunkCT,0.6.4,es.bsc.compss.scheduler.orderstrict.fifo.FifoTS,10,False,5,8,1,1562500,100,1250000000,0.009765625,0.10416666666666667,MINOTAURO_9_NODES_1_CORE,9,1,1,128000000000,12000000000,S_10GB_1,10000000000,FLOAT64,8,1250000000,12500000,100,170,0.0,0.0
14423,2594,1,1,KMEANS,1,_PARTIAL_SUM,1,CPU,28,18,17,VAR_GRID_ROW_5,32MAXCORES_1,TrunkCT,0.6.4,es.bsc.compss.scheduler.orderstrict.fifo.FifoTS,10,False,5,16,1,781250,100,625000000,0.0048828125,0.052083333333333336,MINOTAURO_9_NODES_1_CORE,9,1,1,128000000000,12000000000,S_10GB_1,10000000000,FLOAT64,8,1250000000,12500000,100,170,0.0,0.0
14424,2594,2,1,KMEANS,2,_PARTIAL_SUM,2,GPU,28,18,17,VAR_GRID_ROW_5,32MAXCORES_1,TrunkCT,0.6.4,es.bsc.compss.scheduler.orderstrict.fifo.FifoTS,10,False,5,16,1,781250,100,625000000,0.0048828125,0.052083333333333336,MINOTAURO_9_NODES_1_CORE,9,1,1,128000000000,12000000000,S_10GB_1,10000000000,FLOAT64,8,1250000000,12500000,100,170,0.0,0.0
