"id_parameter","cd_parameter","cd_configuration","id_algorithm","id_function","id_dataset","id_resource","id_parameter_type","nr_iterations","vl_grid_row_dimension","vl_grid_column_dimension","vl_block_row_dimension","vl_block_column_dimension","vl_block_memory_size","vl_block_memory_size_percent_cpu","vl_block_memory_size_percent_gpu"
"109","1","1","1","1","4","1","1","5","1","1","32000","32000","8192000000","0.064","0.6826666666666666"
"110","1","1","1","3","4","1","1","5","1","1","32000","32000","8192000000","0.064","0.6826666666666666"
"111","1","4","1","2","4","1","1","5","1","1","32000","32000","8192000000","0.064","0.6826666666666666"
"112","1","4","1","4","4","1","1","5","1","1","32000","32000","8192000000","0.064","0.6826666666666666"
"113","1","1","1","1","4","1","1","5","2","2","16000","16000","2048000000","0.016","0.17066666666666666"
"114","1","1","1","3","4","1","1","5","2","2","16000","16000","2048000000","0.016","0.17066666666666666"
"115","1","4","1","2","4","1","1","5","2","2","16000","16000","2048000000","0.016","0.17066666666666666"
"116","1","4","1","4","4","1","1","5","2","2","16000","16000","2048000000","0.016","0.17066666666666666"
"117","1","1","1","1","4","1","1","5","4","4","8000","8000","512000000","0.004","0.042666666666666665"
"118","1","1","1","3","4","1","1","5","4","4","8000","8000","512000000","0.004","0.042666666666666665"
"119","1","4","1","2","4","1","1","5","4","4","8000","8000","512000000","0.004","0.042666666666666665"
"120","1","4","1","4","4","1","1","5","4","4","8000","8000","512000000","0.004","0.042666666666666665"
"121","1","1","1","1","4","1","1","5","8","8","4000","4000","128000000","0.001","0.010666666666666666"
"122","1","1","1","3","4","1","1","5","8","8","4000","4000","128000000","0.001","0.010666666666666666"
"123","1","4","1","2","4","1","1","5","8","8","4000","4000","128000000","0.001","0.010666666666666666"
"124","1","4","1","4","4","1","1","5","8","8","4000","4000","128000000","0.001","0.010666666666666666"
"125","1","1","1","1","4","1","1","5","16","16","2000","2000","32000000","0.00025","0.0026666666666666666"
"126","1","1","1","3","4","1","1","5","16","16","2000","2000","32000000","0.00025","0.0026666666666666666"
"127","1","4","1","2","4","1","1","5","16","16","2000","2000","32000000","0.00025","0.0026666666666666666"
"128","1","4","1","4","4","1","1","5","16","16","2000","2000","32000000","0.00025","0.0026666666666666666"
"129","1","1","1","1","4","1","1","5","32","32","1000","1000","8000000","6.25e-05","0.0006666666666666666"
"130","1","1","1","3","4","1","1","5","32","32","1000","1000","8000000","6.25e-05","0.0006666666666666666"
"131","1","4","1","2","4","1","1","5","32","32","1000","1000","8000000","6.25e-05","0.0006666666666666666"
"132","1","4","1","4","4","1","1","5","32","32","1000","1000","8000000","6.25e-05","0.0006666666666666666"
"133","1","1","1","1","4","1","1","5","64","64","500","500","2000000","1.5625e-05","0.00016666666666666666"
"134","1","1","1","3","4","1","1","5","64","64","500","500","2000000","1.5625e-05","0.00016666666666666666"
"135","1","4","1","2","4","1","1","5","64","64","500","500","2000000","1.5625e-05","0.00016666666666666666"
"136","1","4","1","4","4","1","1","5","64","64","500","500","2000000","1.5625e-05","0.00016666666666666666"
"137","1","1","1","1","4","1","1","5","128","128","250","250","500000","3.90625e-06","4.1666666666666665e-05"
"138","1","1","1","3","4","1","1","5","128","128","250","250","500000","3.90625e-06","4.1666666666666665e-05"
"139","1","4","1","2","4","1","1","5","128","128","250","250","500000","3.90625e-06","4.1666666666666665e-05"
"140","1","4","1","4","4","1","1","5","128","128","250","250","500000","3.90625e-06","4.1666666666666665e-05"
"141","1","1","1","1","4","1","1","5","256","256","125","125","125000","9.765625e-07","1.0416666666666666e-05"
"142","1","1","1","3","4","1","1","5","256","256","125","125","125000","9.765625e-07","1.0416666666666666e-05"
"143","1","4","1","2","4","1","1","5","256","256","125","125","125000","9.765625e-07","1.0416666666666666e-05"
"144","1","4","1","4","4","1","1","5","256","256","125","125","125000","9.765625e-07","1.0416666666666666e-05"
"145","1","1","1","1","5","1","1","5","1","1","64000","64000","32768000000","0.256","2.7306666666666666"
"146","1","1","1","3","5","1","1","5","1","1","64000","64000","32768000000","0.256","2.7306666666666666"
"147","1","4","1","2","5","1","1","5","1","1","64000","64000","32768000000","0.256","2.7306666666666666"
"148","1","4","1","4","5","1","1","5","1","1","64000","64000","32768000000","0.256","2.7306666666666666"
"149","1","1","1","1","5","1","1","5","2","2","32000","32000","8192000000","0.064","0.6826666666666666"
"150","1","1","1","3","5","1","1","5","2","2","32000","32000","8192000000","0.064","0.6826666666666666"
"151","1","4","1","2","5","1","1","5","2","2","32000","32000","8192000000","0.064","0.6826666666666666"
"152","1","4","1","4","5","1","1","5","2","2","32000","32000","8192000000","0.064","0.6826666666666666"
"153","1","1","1","1","5","1","1","5","4","4","16000","16000","2048000000","0.016","0.17066666666666666"
"154","1","1","1","3","5","1","1","5","4","4","16000","16000","2048000000","0.016","0.17066666666666666"
"155","1","4","1","2","5","1","1","5","4","4","16000","16000","2048000000","0.016","0.17066666666666666"
"156","1","4","1","4","5","1","1","5","4","4","16000","16000","2048000000","0.016","0.17066666666666666"
"157","1","1","1","1","5","1","1","5","8","8","8000","8000","512000000","0.004","0.042666666666666665"
"158","1","1","1","3","5","1","1","5","8","8","8000","8000","512000000","0.004","0.042666666666666665"
"159","1","4","1","2","5","1","1","5","8","8","8000","8000","512000000","0.004","0.042666666666666665"
"160","1","4","1","4","5","1","1","5","8","8","8000","8000","512000000","0.004","0.042666666666666665"
"161","1","1","1","1","5","1","1","5","16","16","4000","4000","128000000","0.001","0.010666666666666666"
"162","1","1","1","3","5","1","1","5","16","16","4000","4000","128000000","0.001","0.010666666666666666"
"163","1","4","1","2","5","1","1","5","16","16","4000","4000","128000000","0.001","0.010666666666666666"
"164","1","4","1","4","5","1","1","5","16","16","4000","4000","128000000","0.001","0.010666666666666666"
"165","1","1","1","1","5","1","1","5","32","32","2000","2000","32000000","0.00025","0.0026666666666666666"
"166","1","1","1","3","5","1","1","5","32","32","2000","2000","32000000","0.00025","0.0026666666666666666"
"167","1","4","1","2","5","1","1","5","32","32","2000","2000","32000000","0.00025","0.0026666666666666666"
"168","1","4","1","4","5","1","1","5","32","32","2000","2000","32000000","0.00025","0.0026666666666666666"
