"id_experiment","id_parameter","nr_algorithm_iteration","nr_function_iteration","nr_task","vl_total_execution_time","vl_inter_task_execution_time","vl_intra_task_execution_time_full_func","vl_intra_task_execution_time_device_func","vl_communication_time_1","vl_communication_time_2","vl_additional_time_1","vl_additional_time_2","dt_processing"
"1","55","0","0","0",NULL,NULL,"1843.100065331906","1843.100065331906","0","0","0","0","2023-12-17 17:42:11.376054"
"2","57","1","0","0",NULL,NULL,"230.8387233540416","230.8387233540416","0","0","0","0","2023-12-17 17:55:53.8652"
"3","57","1","0","2",NULL,NULL,"230.07796187512577","230.07796187512577","0","0","0","0","2023-12-17 17:56:03.729937"
"4","57","1","0","4",NULL,NULL,"230.16086597554383","230.16086597554383","0","0","0","0","2023-12-17 17:56:21.71691"
"5","57","1","0","6",NULL,NULL,"234.20177041366696","234.20177041366696","0","0","0","0","2023-12-17 17:56:34.969814"
"6","57","1","0","3",NULL,NULL,"230.069386029616","230.069386029616","0","0","0","0","2023-12-17 18:06:36.815187"
"7","57","1","0","7",NULL,NULL,"231.339860195294","231.339860195294","0","0","0","0","2023-12-17 18:06:43.597667"
"8","57","1","0","1",NULL,NULL,"229.88143260404468","229.88143260404468","0","0","0","0","2023-12-17 18:06:50.726843"
"9","57","1","0","5",NULL,NULL,"229.8424813561141","229.8424813561141","0","0","0","0","2023-12-17 18:06:56.130343"
"10","58","1","0","4",NULL,NULL,"21.70064782074094","16.994603515625002","3.523488722741604","1.1825555823743343","0","0","2023-12-17 18:19:17.203982"
"11","58","1","0","6",NULL,NULL,"13.22667000131309","9.708453125","2.344142973423004","1.1740739028900862","0","0","2023-12-17 18:19:55.16241"
"12","58","1","0","0",NULL,NULL,"12.125459217846394","8.579646484375","2.3659008480608463","1.1799118854105473","0","0","2023-12-17 18:21:02.429699"
"13","58","1","0","2",NULL,NULL,"12.19426553465426","8.6139111328125","2.3964485805481672","1.1839058212935925","0","0","2023-12-17 18:21:15.258031"
"14","58","1","0","5",NULL,NULL,"11.03297546389699","8.30844921875","1.569852476939559","1.1546737682074308","0","0","2023-12-17 18:29:02.251002"
"15","58","1","0","7",NULL,NULL,"12.369778884872794","9.6378857421875","1.5579411145299673","1.1739520281553268","0","0","2023-12-17 18:30:43.466557"
"16","58","1","0","1",NULL,NULL,"11.911784261256456","8.574537109375001","2.127875342965126","1.2093718089163303","0","0","2023-12-17 18:31:49.434877"
"17","58","1","0","3",NULL,NULL,"11.810567945331336","8.4731650390625","2.128493444994092","1.208909461274743","0","0","2023-12-17 18:31:49.617502"
"18","59","3","0","0",NULL,NULL,"29.6147816311568","29.6147816311568","0","0","0","0","2023-12-17 18:36:41.218711"
"19","59","3","0","56",NULL,NULL,"29.86676399037242","29.86676399037242","0","0","0","0","2023-12-17 18:36:42.154021"
"20","59","3","0","24",NULL,NULL,"29.51060608774424","29.51060608774424","0","0","0","0","2023-12-17 18:36:42.220441"
"21","59","3","0","28",NULL,NULL,"30.335514390841126","30.335514390841126","0","0","0","0","2023-12-17 18:36:46.273179"
"22","59","3","0","32",NULL,NULL,"29.517314851284027","29.517314851284027","0","0","0","0","2023-12-17 18:36:46.456174"
"23","59","3","0","44",NULL,NULL,"29.588476091623303","29.588476091623303","0","0","0","0","2023-12-17 18:36:49.210127"
"24","59","3","0","16",NULL,NULL,"29.90714643523097","29.90714643523097","0","0","0","0","2023-12-17 18:37:01.391646"
"25","59","3","0","8",NULL,NULL,"29.923842325806618","29.923842325806618","0","0","0","0","2023-12-17 18:37:03.216527"
"26","59","3","0","40",NULL,NULL,"29.644248753786087","29.644248753786087","0","0","0","0","2023-12-17 18:37:03.671826"
"27","59","3","0","52",NULL,NULL,"29.502614056691527","29.502614056691527","0","0","0","0","2023-12-17 18:37:03.859427"
"28","59","3","0","12",NULL,NULL,"30.316619595512748","30.316619595512748","0","0","0","0","2023-12-17 18:37:04.356035"
"29","59","3","0","4",NULL,NULL,"29.683333856984973","29.683333856984973","0","0","0","0","2023-12-17 18:37:05.249298"
"30","59","3","0","20",NULL,NULL,"30.40038845874369","30.40038845874369","0","0","0","0","2023-12-17 18:37:05.373769"
"31","59","3","0","60",NULL,NULL,"29.781154857948422","29.781154857948422","0","0","0","0","2023-12-17 18:37:06.003178"
"32","59","3","0","36",NULL,NULL,"29.66734517924488","29.66734517924488","0","0","0","0","2023-12-17 18:37:07.29468"
"33","59","3","0","48",NULL,NULL,"32.12920385040343","32.12920385040343","0","0","0","0","2023-12-17 18:37:07.326321"
"34","59","3","0","57",NULL,NULL,"28.913290686905384","28.913290686905384","0","0","0","0","2023-12-17 18:39:47.540104"
"35","59","3","0","29",NULL,NULL,"28.881103871390224","28.881103871390224","0","0","0","0","2023-12-17 18:40:29.11101"
"36","59","3","0","25",NULL,NULL,"28.97355981916189","28.97355981916189","0","0","0","0","2023-12-17 18:40:50.153366"
"37","59","3","0","1",NULL,NULL,"28.97508201561868","28.97508201561868","0","0","0","0","2023-12-17 18:40:50.627131"
"38","59","3","0","45",NULL,NULL,"29.02377580478788","29.02377580478788","0","0","0","0","2023-12-17 18:41:02.752238"
"39","59","3","0","33",NULL,NULL,"28.93700839392841","28.93700839392841","0","0","0","0","2023-12-17 18:41:15.639417"
"40","59","3","0","41",NULL,NULL,"28.935482133179903","28.935482133179903","0","0","0","0","2023-12-17 18:41:55.537602"
"41","59","3","0","61",NULL,NULL,"29.02282520011068","29.02282520011068","0","0","0","0","2023-12-17 18:42:00.532758"
"42","59","3","0","13",NULL,NULL,"29.1129092797637","29.1129092797637","0","0","0","0","2023-12-17 18:42:01.807775"
"43","59","3","0","9",NULL,NULL,"29.04654167406261","29.04654167406261","0","0","0","0","2023-12-17 18:42:02.448886"
"44","59","3","0","53",NULL,NULL,"28.934871334582567","28.934871334582567","0","0","0","0","2023-12-17 18:42:02.982317"
"45","59","3","0","49",NULL,NULL,"29.034514212980863","29.034514212980863","0","0","0","0","2023-12-17 18:42:13.278738"
"46","59","3","0","37",NULL,NULL,"29.04842466302216","29.04842466302216","0","0","0","0","2023-12-17 18:42:16.052243"
"47","59","3","0","17",NULL,NULL,"29.008113831281666","29.008113831281666","0","0","0","0","2023-12-17 18:42:20.293555"
