"id_parameter","cd_parameter","cd_configuration","id_algorithm","id_function","id_dataset","id_resource","id_parameter_type","nr_iterations","vl_grid_row_dimension","vl_grid_column_dimension","vl_block_row_dimension","vl_block_column_dimension","vl_block_memory_size","vl_block_memory_size_percent_cpu","vl_block_memory_size_percent_gpu"
"55","4","1","1","1","4","1","1","5","1","1","32000","32000","8192000000","0.064","0.6826666666666666"
"56","4","2","1","2","4","1","1","5","1","1","32000","32000","8192000000","0.064","0.6826666666666666"
"57","4","1","1","1","4","1","1","5","2","2","16000","16000","2048000000","0.016","0.17066666666666666"
"58","4","2","1","2","4","1","1","5","2","2","16000","16000","2048000000","0.016","0.17066666666666666"
"59","4","1","1","1","4","1","1","5","4","4","8000","8000","512000000","0.004","0.042666666666666665"
"60","4","2","1","2","4","1","1","5","4","4","8000","8000","512000000","0.004","0.042666666666666665"
"61","4","1","1","1","4","1","1","5","8","8","4000","4000","128000000","0.001","0.010666666666666666"
"62","4","2","1","2","4","1","1","5","8","8","4000","4000","128000000","0.001","0.010666666666666666"
"63","4","1","1","1","4","1","1","5","16","16","2000","2000","32000000","0.00025","0.0026666666666666666"
"64","4","2","1","2","4","1","1","5","16","16","2000","2000","32000000","0.00025","0.0026666666666666666"
"65","4","1","1","1","4","1","1","5","32","32","1000","1000","8000000","6.25e-05","0.0006666666666666666"
"66","4","2","1","2","4","1","1","5","32","32","1000","1000","8000000","6.25e-05","0.0006666666666666666"
"67","4","1","1","1","4","1","1","5","64","64","500","500","2000000","1.5625e-05","0.00016666666666666666"
"68","4","2","1","2","4","1","1","5","64","64","500","500","2000000","1.5625e-05","0.00016666666666666666"
"69","4","1","1","1","4","1","1","5","128","128","250","250","500000","3.90625e-06","4.1666666666666665e-05"
"70","4","2","1","2","4","1","1","5","128","128","250","250","500000","3.90625e-06","4.1666666666666665e-05"
"71","4","1","1","1","4","1","1","5","256","256","125","125","125000","9.765625e-07","1.0416666666666666e-05"
"72","4","2","1","2","4","1","1","5","256","256","125","125","125000","9.765625e-07","1.0416666666666666e-05"
