"id_parameter","cd_parameter","cd_configuration","id_algorithm","id_function","id_dataset","id_resource","id_parameter_type","nr_iterations","vl_grid_row_dimension","vl_grid_column_dimension","vl_block_row_dimension","vl_block_column_dimension","vl_block_memory_size","vl_block_memory_size_percent_cpu","vl_block_memory_size_percent_gpu"
"14397","2593","1","1","1","27","18","17","5","1","1","1250000","100","1000000000","0.0078125","0.08333333333333333"
"14398","2593","2","1","2","27","18","17","5","1","1","1250000","100","1000000000","0.0078125","0.08333333333333333"
"14399","2593","1","1","1","27","18","17","5","2","1","625000","100","500000000","0.00390625","0.041666666666666664"
"14400","2593","2","1","2","27","18","17","5","2","1","625000","100","500000000","0.00390625","0.041666666666666664"
"14401","2593","1","1","1","27","18","17","5","4","1","312500","100","250000000","0.001953125","0.020833333333333332"
"14402","2593","2","1","2","27","18","17","5","4","1","312500","100","250000000","0.001953125","0.020833333333333332"
"14403","2593","1","1","1","27","18","17","5","8","1","156250","100","125000000","0.0009765625","0.010416666666666666"
"14404","2593","2","1","2","27","18","17","5","8","1","156250","100","125000000","0.0009765625","0.010416666666666666"
"14405","2593","1","1","1","27","18","17","5","16","1","78125","100","62500000","0.00048828125","0.005208333333333333"
"14406","2593","2","1","2","27","18","17","5","16","1","78125","100","62500000","0.00048828125","0.005208333333333333"
"14407","2593","1","1","1","27","18","17","5","32","1","39062","100","31249600","0.0002441375","0.0026041333333333334"
"14408","2593","2","1","2","27","18","17","5","32","1","39062","100","31249600","0.0002441375","0.0026041333333333334"
"14409","2593","1","1","1","27","18","17","5","64","1","19531","100","15624800","0.00012206875","0.0013020666666666667"
"14410","2593","2","1","2","27","18","17","5","64","1","19531","100","15624800","0.00012206875","0.0013020666666666667"
"14411","2593","1","1","1","27","18","17","5","128","1","9765","100","7812000","6.103125e-05","0.000651"
"14412","2593","2","1","2","27","18","17","5","128","1","9765","100","7812000","6.103125e-05","0.000651"
"14413","2593","1","1","1","27","18","17","5","256","1","4882","100","3905600","3.05125e-05","0.00032546666666666665"
"14414","2593","2","1","2","27","18","17","5","256","1","4882","100","3905600","3.05125e-05","0.00032546666666666665"
"14415","2594","1","1","1","28","18","17","5","1","1","12500000","100","10000000000","0.078125","0.8333333333333334"
"14416","2594","2","1","2","28","18","17","5","1","1","12500000","100","10000000000","0.078125","0.8333333333333334"
"14417","2594","1","1","1","28","18","17","5","2","1","6250000","100","5000000000","0.0390625","0.4166666666666667"
"14418","2594","2","1","2","28","18","17","5","2","1","6250000","100","5000000000","0.0390625","0.4166666666666667"
"14419","2594","1","1","1","28","18","17","5","4","1","3125000","100","2500000000","0.01953125","0.20833333333333334"
"14420","2594","2","1","2","28","18","17","5","4","1","3125000","100","2500000000","0.01953125","0.20833333333333334"
"14421","2594","1","1","1","28","18","17","5","8","1","1562500","100","1250000000","0.009765625","0.10416666666666667"
"14422","2594","2","1","2","28","18","17","5","8","1","1562500","100","1250000000","0.009765625","0.10416666666666667"
"14423","2594","1","1","1","28","18","17","5","16","1","781250","100","625000000","0.0048828125","0.052083333333333336"
"14424","2594","2","1","2","28","18","17","5","16","1","781250","100","625000000","0.0048828125","0.052083333333333336"
"14425","2594","1","1","1","28","18","17","5","32","1","390625","100","312500000","0.00244140625","0.026041666666666668"
"14426","2594","2","1","2","28","18","17","5","32","1","390625","100","312500000","0.00244140625","0.026041666666666668"
"14427","2594","1","1","1","28","18","17","5","64","1","195312","100","156249600","0.0012207","0.0130208"
"14428","2594","2","1","2","28","18","17","5","64","1","195312","100","156249600","0.0012207","0.0130208"
"14429","2594","1","1","1","28","18","17","5","128","1","97656","100","78124800","0.00061035","0.0065104"
"14430","2594","2","1","2","28","18","17","5","128","1","97656","100","78124800","0.00061035","0.0065104"
"14431","2594","1","1","1","28","18","17","5","256","1","48828","100","39062400","0.000305175","0.0032552"
"14432","2594","2","1","2","28","18","17","5","256","1","48828","100","39062400","0.000305175","0.0032552"
"14433","2595","1","1","1","29","18","17","5","1","1","125000000","100","100000000000","0.78125","8.333333333333334"
"14434","2595","2","1","2","29","18","17","5","1","1","125000000","100","100000000000","0.78125","8.333333333333334"
"14435","2595","1","1","1","29","18","17","5","2","1","62500000","100","50000000000","0.390625","4.166666666666667"
"14436","2595","2","1","2","29","18","17","5","2","1","62500000","100","50000000000","0.390625","4.166666666666667"
"14437","2595","1","1","1","29","18","17","5","4","1","31250000","100","25000000000","0.1953125","2.0833333333333335"
"14438","2595","2","1","2","29","18","17","5","4","1","31250000","100","25000000000","0.1953125","2.0833333333333335"
"14439","2595","1","1","1","29","18","17","5","8","1","15625000","100","12500000000","0.09765625","1.0416666666666667"
"14440","2595","2","1","2","29","18","17","5","8","1","15625000","100","12500000000","0.09765625","1.0416666666666667"
"14441","2595","1","1","1","29","18","17","5","16","1","7812500","100","6250000000","0.048828125","0.5208333333333334"
"14442","2595","2","1","2","29","18","17","5","16","1","7812500","100","6250000000","0.048828125","0.5208333333333334"
"14443","2595","1","1","1","29","18","17","5","32","1","3906250","100","3125000000","0.0244140625","0.2604166666666667"
"14444","2595","2","1","2","29","18","17","5","32","1","3906250","100","3125000000","0.0244140625","0.2604166666666667"
"14445","2595","1","1","1","29","18","17","5","64","1","1953125","100","1562500000","0.01220703125","0.13020833333333334"
"14446","2595","2","1","2","29","18","17","5","64","1","1953125","100","1562500000","0.01220703125","0.13020833333333334"
"14447","2595","1","1","1","29","18","17","5","128","1","976562","100","781249600","0.0061035125","0.06510413333333333"
"14448","2595","2","1","2","29","18","17","5","128","1","976562","100","781249600","0.0061035125","0.06510413333333333"
"14449","2595","1","1","1","29","18","17","5","256","1","488281","100","390624800","0.00305175625","0.032552066666666664"
"14450","2595","2","1","2","29","18","17","5","256","1","488281","100","390624800","0.00305175625","0.032552066666666664"
"14505","2599","1","1","1","27","18","18","5","1","1","1250000","100","1000000000","0.0078125","0.08333333333333333"
"14506","2599","2","1","2","27","18","18","5","1","1","1250000","100","1000000000","0.0078125","0.08333333333333333"
"14507","2599","1","1","1","27","18","18","5","2","1","625000","100","500000000","0.00390625","0.041666666666666664"
"14508","2599","2","1","2","27","18","18","5","2","1","625000","100","500000000","0.00390625","0.041666666666666664"
"14509","2599","1","1","1","27","18","18","5","4","1","312500","100","250000000","0.001953125","0.020833333333333332"
"14510","2599","2","1","2","27","18","18","5","4","1","312500","100","250000000","0.001953125","0.020833333333333332"
"14511","2599","1","1","1","27","18","18","5","8","1","156250","100","125000000","0.0009765625","0.010416666666666666"
"14512","2599","2","1","2","27","18","18","5","8","1","156250","100","125000000","0.0009765625","0.010416666666666666"
"14513","2599","1","1","1","27","18","18","5","16","1","78125","100","62500000","0.00048828125","0.005208333333333333"
