Parallel task exec. time,Block size,Grid dimension,Parallel fraction,Algorithm-specific param.,Computational complexity,DAG maximum width,DAG maximum height,Dataset size,CPU,GPU,Shared disk storage,Local disk storage,Task gen. order scheduling,Data locality scheduling
2166.06,8192000000,1,1,NULL,32768,1,1,8192000000,1,0,1,0,1,0
867.72,2048000000,4,1,NULL,4096,8,2,8192000000,1,0,1,0,1,0
592.1,2048000000,4,1,NULL,4096,8,2,8192000000,0,1,1,0,1,0
447.69,512000000,16,1,NULL,512,64,3,8192000000,1,0,1,0,1,0
264.59,512000000,16,1,NULL,512,64,3,8192000000,0,1,1,0,1,0
362.52,128000000,64,1,NULL,64,512,4,8192000000,1,0,1,0,1,0
364.32,128000000,64,1,NULL,64,512,4,8192000000,0,1,1,0,1,0
690.38,32000000,256,1,NULL,8,4096,5,8192000000,1,0,1,0,1,0
842.68,32000000,256,1,NULL,8,4096,5,8192000000,0,1,1,0,1,0
1908.04,8192000000,1,1,NULL,32768,1,1,8192000000,1,0,0,1,0,1
504.1,2048000000,4,1,NULL,4096,8,2,8192000000,1,0,0,1,0,1
169.33,2048000000,4,1,NULL,4096,8,2,8192000000,0,1,0,1,0,1
255.61,512000000,16,1,NULL,512,64,3,8192000000,1,0,0,1,0,1
224.81,512000000,16,1,NULL,512,64,3,8192000000,0,1,0,1,0,1
208.47,128000000,64,1,NULL,64,512,4,8192000000,1,0,0,1,0,1
241.81,128000000,64,1,NULL,64,512,4,8192000000,0,1,0,1,0,1
428.74,32000000,256,1,NULL,8,4096,5,8192000000,1,0,0,1,0,1
472.72,32000000,256,1,NULL,8,4096,5,8192000000,0,1,0,1,0,1
2149.92,8192000000,1,1,NULL,32768,1,1,8192000000,1,0,1,0,0,1
784.04,2048000000,4,1,NULL,4096,8,2,8192000000,1,0,1,0,0,1
477.04,2048000000,4,1,NULL,4096,8,2,8192000000,0,1,1,0,0,1
296.63,512000000,16,1,NULL,512,64,3,8192000000,1,0,1,0,0,1
230.95,512000000,16,1,NULL,512,64,3,8192000000,0,1,1,0,0,1
308.69,128000000,64,1,NULL,64,512,4,8192000000,1,0,1,0,0,1
345.4,128000000,64,1,NULL,64,512,4,8192000000,0,1,1,0,0,1
677.81,32000000,256,1,NULL,8,4096,5,8192000000,1,0,1,0,0,1
829.88,32000000,256,1,NULL,8,4096,5,8192000000,0,1,1,0,0,1
1907.85,8192000000,1,1,NULL,32768,1,1,8192000000,1,0,0,1,1,0
261.8,2048000000,4,1,NULL,4096,8,2,8192000000,1,0,0,1,1,0
346.95,2048000000,4,1,NULL,4096,8,2,8192000000,0,1,0,1,1,0
366.33,512000000,16,1,NULL,512,64,3,8192000000,1,0,0,1,1,0
271.87,512000000,16,1,NULL,512,64,3,8192000000,0,1,0,1,1,0
235.73,128000000,64,1,NULL,64,512,4,8192000000,1,0,0,1,1,0
284.47,128000000,64,1,NULL,64,512,4,8192000000,0,1,0,1,1,0
378.74,32000000,256,1,NULL,8,4096,5,8192000000,1,0,0,1,1,0
393.03,32000000,256,1,NULL,8,4096,5,8192000000,0,1,0,1,1,0
5.14,128000000,1,1,NULL,64,1,1,128000000,1,0,1,0,1,0
1.65,128000000,1,1,NULL,64,1,1,128000000,0,1,1,0,1,0
3.66,32000000,4,1,NULL,8,8,2,128000000,1,0,1,0,1,0
7.25,32000000,4,1,NULL,8,8,2,128000000,0,1,1,0,1,0
10.18,8000000,16,1,NULL,1,64,3,128000000,1,0,1,0,1,0
6.89,8000000,16,1,NULL,1,64,3,128000000,0,1,1,0,1,0
9.59,2000000,64,1,NULL,0.13,512,4,128000000,1,0,1,0,1,0
11.08,2000000,64,1,NULL,0.13,512,4,128000000,0,1,1,0,1,0
23.25,500000,256,1,NULL,0.02,4096,5,128000000,1,0,1,0,1,0
