ds_algorithm,ds_dataset,concat_grid_row_x_column_dim_block_size,speedup_gpu_intra_task_execution_time_device_func,speedup_gpu_intra_task_execution_time_full_func,speedup_gpu_total_execution_time,vl_user_module,vl_deserialization,vl_serialization,vl_data_access_overhead,vl_inter_overhead,vl_intra_task_execution_time_full_func,vl_additional_time,vl_intra_task_execution_time_device_func,vl_communication_time,vl_intra_task_overhead,vl_cpu_cores,vl_gpu_devices
Matmul,S_8GB_1,32 (16 x 16),14.09,6.26,-1.23,0.03,634.33,158.83,793.16,793.16,0.06,0,0.02,0.04,0.04,128,32
Matmul,S_8GB_1,    128 (8 x 8),18.89,10.33,-1.01,5.14,260.92,55.56,316.48,316.48,0.27,0,0.11,0.16,0.16,128,32
Matmul,S_8GB_1,512 (4 x 4),23.92,16.31,1.7,8.46,153.06,17.59,170.65,170.65,1.28,0,0.72,0.57,0.57,128,32
Matmul,S_8GB_1,2048 (2 x 2),26.71,21.33,1.47,9.09,296.11,25.97,322.08,322.08,8.13,0,5.85,2.28,2.28,128,32
Matmul,S_8GB_1,8192 (1 x 1),0,0,0,,,,,,,,,,,128,32
K-means,S_10GB_1,39 (256 x 1),5.69,1.24,-1.2,0.11,73.44,4.89,78.33,78.33,0.06,0.05,0.01,0.01,0.05,128,32
K-means,S_10GB_1,78 (128 x 1),4.04,1.21,-1.16,0.12,60.36,1.4,61.76,61.76,0.13,0.1,0.01,0.02,0.1,128,32
K-means,S_10GB_1,156 (64 x 1),5.01,1.08,2.07,1.58,55.52,0.47,55.99,55.99,0.24,0.18,0.02,0.04,0.18,128,32
K-means,S_10GB_1,313 (32 x 1),7.26,1.27,2.1,5.42,42.97,0.04,43.01,43.01,0.42,0.36,0.03,0.04,0.36,128,32
K-means,S_10GB_1,625 (16 x 1),8.12,1.5,1.62,6.41,142.63,0.04,142.67,142.67,0.84,0.72,0.05,0.07,0.72,128,32
K-means,S_10GB_1,1250 (8 x 1),8.59,1.31,1.75,0.33,256.2,0.04,256.24,256.24,1.89,1.65,0.09,0.16,1.65,128,32
K-means,S_10GB_1,2500 (4 x 1),9.68,1.33,1.01,5.84,637.62,0.04,637.66,637.66,3.67,3.28,0.15,0.24,3.28,128,32
K-means,S_10GB_1,5000 (2 x 1),10.6,1.35,1.05,5.32,1102.92,0.05,1102.97,1102.97,7.25,6.49,0.28,0.48,6.49,128,32
K-means,S_10GB_1,10000 (1 x 1),12.5,1.36,1.04,12.84,723.07,0.04,723.11,723.11,14.47,13.03,0.48,0.96,13.03,128,32
Matmul,S_32GB_1,128 (16 x 16),20.2,10.64,-1.13,,2445.8,476.43,2922.23,2922.23,0.27,0,0.11,0.16,0.16,128,32
Matmul,S_32GB_1,512 (8 x 8),25.13,16.73,-1.16,,1353.6,139.19,1492.8,1492.8,1.22,0,0.65,0.57,0.57,128,32
Matmul,S_32GB_1,2048 (4 x 4),27.8,21.22,1.54,,834.95,59.42,894.37,894.37,7.79,0,5.3,2.48,2.48,128,32
Matmul,S_32GB_1,8192 (2 x 2),0,0,0,,,,,,,,,,,128,32
Matmul,S_32GB_1,32768 (1 x 1),0,0,0,,,,,,,,,,,128,32
K-means,S_100GB_1,391 (256 x 1),8.66,1.75,-1.24,,671.92,4.87,676.79,676.79,0.53,0.45,0.03,0.05,0.5,128,32
K-means,S_100GB_1,781 (128 x 1),8.3,1.48,-1.41,,763.32,0.69,764.01,764.01,1.17,1.01,0.06,0.1,1.11,128,32
K-means,S_100GB_1,1563 (64 x 1),7.69,1.47,1.2,,895.47,0.16,895.63,895.63,2.41,2.05,0.13,0.23,2.28,128,32
K-means,S_100GB_1,3125 (32 x 1),8.45,1.45,2.32,,979.14,0.15,979.28,979.28,4.76,4.05,0.23,0.48,4.54,128,32
K-means,S_100GB_1,6250 (16 x 1),15.33,2.4,2.36,,1894.19,0.08,1894.27,1894.27,9.44,8.2,0.37,0.87,9.07,128,32
K-means,S_100GB_1,12500 (8 x 1),0,0,0,,,,,,,,,,,128,32
